time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,currency
1617644640,49855.14,49820.48,49820.48,4.659,232193.87,49855.14,direct,,EUR
1617644700,49855.29,49816.01,49855.14,6.408,319168.31,49820.99,direct,,EUR
1617644760,49820.99,49805.53,49820.99,4.984,248170.06,49814.09,direct,,EUR
1617644820,49839.05,49811.33,49814.09,7.416,369513.32,49839.05,direct,,EUR
1617644880,49840.66,49811.06,49839.05,3.2560000000000002,162291.56,49811.06,direct,,EUR
1617644940,49817.47,49804.98,49811.06,2.4130000000000003,120101.25,49812.83,direct,,EUR
1617645000,49814.48,49806.79,49812.83,2.495,124221.53,49810.67,direct,,EUR
1617645060,49817.0,49809.39,49810.67,2.819,140409.37,49816.63,direct,,EUR
1617645120,49817.62,49809.81,49816.63,1.266,63073.43,49812.32,direct,,EUR
1617645180,49819.93,49809.86,49812.32,6.85,341305.33,49819.93,direct,,EUR
1617645240,49819.93,49809.51,49819.93,2.362,117646.51,49813.93,direct,,EUR
1617645300,49822.49,49813.76,49813.93,1.088,54208.99,49821.67,direct,,EUR
1617645360,49831.79,49818.31,49821.67,2.7560000000000002,137345.95,49831.79,direct,,EUR
1617645420,49882.16,49829.6,49831.79,9.02,449882.85,49882.14,direct,,EUR
1617645480,49917.23,49880.26,49882.14,7.429,370827.05,49898.55,direct,,EUR
1617645540,49901.58,49879.85,49898.55,4.702,234572.91,49886.43,direct,,EUR
1617645600,49933.94,49886.43,49886.43,4.671,233225.21,49930.74,direct,,EUR
1617645660,49932.59,49921.27,49930.74,3.04,151713.45,49928.62,direct,,EUR
1617645720,49938.96,49923.31,49928.62,7.328,365999.87,49938.96,direct,,EUR
1617645780,49955.64,49938.96,49938.96,4.476,223637.83,49940.55,direct,,EUR
1617645840,49940.59,49928.36,49940.55,5.293,264347.59,49939.53,direct,,EUR
1617645900,49954.84,49925.57,49939.53,4.439,221820.04,49951.45,direct,,EUR
1617645960,49953.37,49917.91,49951.45,2.251,112402.48,49917.91,direct,,EUR
1617646020,49930.65,49916.06,49917.91,2.604,130010.45,49917.32,direct,,EUR
1617646080,49927.77,49914.85,49917.32,3.847,191846.4,49916.26,direct,,EUR
1617646140,49923.93,49884.81,49916.26,2.8449999999999998,141915.06,49884.81,direct,,EUR
1617646200,49891.82,49877.27,49884.81,2.62,130755.42,49877.68,direct,,EUR
1617646260,49880.6,49863.86,49877.68,1.579,78758.76,49864.16,direct,,EUR
1617646320,49865.81,49839.62,49864.16,2.23,111197.58,49839.62,direct,,EUR
1617646380,49840.18,49832.19,49839.62,2.088,104028.8,49836.94,direct,,EUR
1617646440,49836.94,49817.21,49836.94,6.965,347155.62,49818.28,direct,,EUR
1617646500,49819.4,49803.7,49818.28,3.743,186479.05,49811.01,direct,,EUR
1617646560,49829.66,49805.68,49811.01,2.3810000000000002,118638.58,49820.38,direct,,EUR
1617646620,49829.19,49811.88,49820.38,3.232,161063.36,49811.88,direct,,EUR
1617646680,49840.24,49810.46,49811.88,3.615,180201.07,49838.77,direct,,EUR
1617646740,49863.73,49835.67,49838.77,3.317,165416.58,49854.49,direct,,EUR
1617646800,49856.67,49802.39,49854.49,3.189,158954.94,49804.42,direct,,EUR
1617646860,49826.98,49795.83,49804.42,1.703,84900.98,49826.98,direct,,EUR
1617646920,49845.53,49826.98,49826.98,2.1310000000000002,106229.8,49837.49,direct,,EUR
1617646980,49842.87,49781.29,49837.49,7.107,353744.43,49781.32,direct,,EUR
1617647040,49782.4,49735.66,49781.32,5.654,281313.76,49735.66,direct,,EUR
1617647100,49789.64,49735.66,49735.66,6.041,300608.02,49787.3,direct,,EUR
1617647160,49804.26,49787.3,49787.3,4.303,214322.05,49804.26,direct,,EUR
1617647220,49811.66,49793.18,49804.26,2.571,128053.62,49801.2,direct,,EUR
1617647280,49807.19,49795.62,49801.2,1.686,84007.04,49799.5,direct,,EUR
1617647340,49824.29,49792.84,49799.5,2.835,141231.41,49817.37,direct,,EUR
1617647400,49845.54,49817.04,49817.37,4.549,226688.04,49824.18,direct,,EUR
1617647460,49824.96,49793.22,49824.18,4.307,214543.25,49796.28,direct,,EUR
1617647520,49844.5,49794.85,49796.28,1.6520000000000001,82319.63,49842.93,direct,,EUR
1617647580,49853.71,49840.51,49842.93,3.142,156649.78,49843.79,direct,,EUR
1617647640,49844.52,49833.67,49843.79,1.7469999999999999,87058.39,49842.27,direct,,EUR
1617647700,49851.15,49842.27,49842.27,1.479,73732.9,49847.04,direct,,EUR
1617647760,49861.17,49847.04,49847.04,1.7690000000000001,88242.28,49858.84,direct,,EUR
1617647820,49858.84,49832.6,49858.84,2.6109999999999998,130128.13,49841.64,direct,,EUR
1617647880,49845.73,49812.58,49841.64,2.061,102672.8,49818.42,direct,,EUR
1617647940,49847.32,49815.14,49818.42,1.733,86359.9,49841.03,direct,,EUR
1617648000,49862.55,49839.85,49841.03,3.451,172059.43,49861.66,direct,,EUR
