time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,currency
1617624360,49306.63,49287.61,49290.71,8.327,410488.37,49304.28,direct,,EUR
1617624420,49304.69,49296.47,49304.28,7.017,345920.84,49296.47,direct,,EUR
1617624480,49318.68,49294.53,49296.47,18.8,926985.69,49315.85,direct,,EUR
1617624540,49365.52,49315.85,49315.85,12.25,604393.75,49358.63,direct,,EUR
1617624600,49375.65,49344.98,49358.63,4.878,240783.11,49372.79,direct,,EUR
1617624660,49377.77,49358.56,49372.79,5.849,288792.74,49375.75,direct,,EUR
1617624720,49375.93,49338.44,49375.75,8.131,401385.87,49360.26,direct,,EUR
1617624780,49391.07,49360.26,49360.26,7.219,356498.36,49388.19,direct,,EUR
1617624840,49409.3,49387.77,49388.19,9.643,476396.19,49388.71,direct,,EUR
1617624900,49410.84,49386.86,49388.71,6.886,340274.02,49410.84,direct,,EUR
1617624960,49423.54,49405.96,49410.84,12.36,611013.31,49423.54,direct,,EUR
1617625020,49423.54,49409.87,49423.54,5.29,261393.64,49418.35,direct,,EUR
1617625080,49418.84,49405.18,49418.35,3.219,159161.86,49409.89,direct,,EUR
1617625140,49409.89,49343.83,49409.89,8.662,427604.27,49350.82,direct,,EUR
1617625200,49350.82,49342.37,49350.82,0.0,0.0,49342.37,direct,,EUR
